C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_45_912.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_45_912.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_45_912.jpg,0,0,0,1.491796E-05
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_45_988.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_45_988.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_45_988.jpg,0,0,0,1.114133E-05
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_074.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_074.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_074.jpg,0,0,0,5.1599E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_154.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_154.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_154.jpg,0,0,0,4.137568E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_239.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_239.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_239.jpg,0,0,0,7.921169E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_320.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_320.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_320.jpg,0,0,0,1.039673E-05
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_401.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_401.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_401.jpg,0,0,0,2.834187E-05
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_482.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_482.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_482.jpg,0,0,0,6.696278E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_560.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_560.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_560.jpg,0,0,0,8.81929E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_642.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_642.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_642.jpg,0,0,0,1.044899E-05
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_723.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_723.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_723.jpg,0,0,0,7.862966E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_802.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_802.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_802.jpg,0,0,0,4.734374E-07
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_883.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_883.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_883.jpg,0,0,0,6.520996E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_46_964.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_46_964.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_46_964.jpg,0,0,0,6.100894E-06
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_47_063.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_47_063.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_47_063.jpg,-0.1,0.2959037,0,0.277887
C:\Users\Aparna\Desktop\Car_Training\IMG\center_2019_07_02_11_17_47_141.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\left_2019_07_02_11_17_47_141.jpg,C:\Users\Aparna\Desktop\Car_Training\IMG\right_2019_07_02_11_17_47_141.jpg,-0.3,0.5027258,0,0.6548378
